,ph,temperature,datetime,do_linreg,dvd_dev_id,rounded_datetime,airtemp,humid,precipitation (mm),surface_pressure (hPa),windspeed_10m (km/h),light,Depth,temperature^2,airtemp^2,temp*airtemp,depth*temp,do_knn,do
326,8.79216589861751,32.310835983941274,2023-06-12 05:10:44.217623,8.553,2,2023-06-12 05:00:00,26.7,97,0.0,997.6,5.1,0.0,1.2192,1043.9901219811543,712.89,862.699320771232,39.3933712316212,9.0325,9.405
327,8.389987431922915,32.40291520035589,2023-06-12 05:27:12.466841,8.678,2,2023-06-12 05:00:00,26.7,97,0.0,997.6,5.1,0.0,1.2192,1049.9489134814548,712.89,865.1578358495022,39.505634212273904,9.0325,9.405
328,8.269333891914538,32.49510570451872,2023-06-12 05:43:40.682545,8.721,2,2023-06-12 06:00:00,26.9,96,0.0,997.9,5.6,16.0,1.2192,1055.931894747845,723.6099999999999,874.1183434515535,39.61803287494923,10.555833333333332,11.327
329,8.631294511939673,32.77235383011862,2023-06-12 06:00:09.181344,8.639,2,2023-06-12 06:00:00,26.9,96,0.0,997.9,5.6,16.0,1.2192,1074.0271755664905,723.6099999999999,881.5763180301908,39.956053789680624,10.555833333333332,11.327
330,8.470423125261837,33.05063573585181,2023-06-12 06:16:37.498455,8.709,2,2023-06-12 06:00:00,26.9,96,0.0,997.9,5.6,16.0,1.2192,1092.344522543965,723.6099999999999,889.0621012944138,40.295335089150534,10.555833333333332,11.327
331,8.510640971931293,33.05063573585181,2023-06-12 06:33:05.954008,8.698,2,2023-06-12 07:00:00,28.3,91,0.0,998.8,6.9,84.0,1.2192,1092.344522543965,800.89,935.3329913246064,40.295335089150534,5.802083333333333,7.731
332,8.591076665270212,33.23674344865162,2023-06-12 06:49:34.642411,8.69,2,2023-06-12 07:00:00,28.3,91,0.0,998.8,6.9,84.0,1.2192,1104.6811150714866,800.89,940.599839596841,40.52223761259606,5.802083333333333,7.731
333,8.470423125261837,33.23674344865162,2023-06-12 07:06:03.838887,8.725,2,2023-06-12 07:00:00,28.3,91,0.0,998.8,6.9,84.0,1.2192,1104.6811150714866,800.89,940.599839596841,40.52223761259606,5.802083333333333,7.731
334,8.631294511939673,33.23674344865162,2023-06-12 07:22:32.218843,8.678,2,2023-06-12 07:00:00,28.3,91,0.0,998.8,6.9,84.0,1.2192,1104.6811150714866,800.89,940.599839596841,40.52223761259606,5.802083333333333,7.731
335,8.751948051948048,33.14363033627268,2023-06-12 07:39:03.364981,8.635,2,2023-06-12 08:00:00,30.2,83,0.0,999.6,7.1,149.0,1.2192,1098.5002318674947,912.04,1000.9376361554349,40.408714105983655,6.584166666666667,6.475999999999999
336,8.79216589861751,32.86499839542569,2023-06-12 07:55:30.739506,8.6,2,2023-06-12 08:00:00,30.2,83,0.0,999.6,7.1,149.0,1.2192,1080.108119531333,912.04,992.5229515418557,40.069006043703,6.584166666666667,6.475999999999999
337,9.274780058651023,32.67982412605363,2023-06-12 09:51:01.222809,8.818,2,2023-06-12 10:00:00,32.7,76,0.1,999.6,8.4,220.0,1.2192,1067.970904909797,1069.2900000000002,1068.6302489219538,39.84324157448459,6.809583333333335,6.9628
338,9.314997905320485,32.67982412605363,2023-06-12 10:07:23.719711,8.807,2,2023-06-12 10:00:00,32.7,76,0.1,999.6,8.4,220.0,1.2192,1067.970904909797,1069.2900000000002,1068.6302489219538,39.84324157448459,6.809583333333335,6.9628
339,9.314997905320485,32.67982412605363,2023-06-12 10:23:48.677702,8.807,2,2023-06-12 10:00:00,32.7,76,0.1,999.6,8.4,220.0,1.2192,1067.970904909797,1069.2900000000002,1068.6302489219538,39.84324157448459,6.809583333333335,6.9628
340,9.314997905320485,32.58740838275526,2023-06-12 10:41:39.711925,8.799,2,2023-06-12 11:00:00,33.8,69,0.2,999.1,8.9,251.0,1.2192,1061.9391851044675,1142.4399999999998,1101.4544033371276,39.730568300255214,6.740416666666667,6.958949999999999
341,9.274780058651023,32.58740838275526,2023-06-12 10:56:40.556935,8.811,2,2023-06-12 11:00:00,33.8,69,0.2,999.1,8.9,251.0,1.2192,1061.9391851044675,1142.4399999999998,1101.4544033371276,39.730568300255214,6.740416666666667,6.958949999999999
342,9.274780058651023,32.49510570451872,2023-06-12 11:13:01.676622,8.803,2,2023-06-12 11:00:00,33.8,69,0.2,999.1,8.9,251.0,1.2192,1055.931894747845,1142.4399999999998,1098.3345728127326,39.61803287494923,6.740416666666667,6.958949999999999
343,9.234562211981567,32.49510570451872,2023-06-12 11:29:26.599549,8.815,2,2023-06-12 11:00:00,33.8,69,0.2,999.1,8.9,251.0,1.2192,1055.931894747845,1142.4399999999998,1098.3345728127326,39.61803287494923,6.740416666666667,6.958949999999999
344,9.234562211981567,32.40291520035589,2023-06-12 11:46:03.454568,8.807,2,2023-06-12 12:00:00,33.8,69,0.2,998.7,7.7,294.0,1.2192,1049.9489134814548,1142.4399999999998,1095.218533772029,39.505634212273904,6.790416666666668,6.958949999999999
345,9.194344365312105,32.40291520035589,2023-06-12 12:02:16.700066,8.443,2,2023-06-12 12:00:00,33.8,69,0.2,998.7,7.7,294.0,1.2192,1049.9489134814548,1142.4399999999998,1095.218533772029,39.505634212273904,6.790416666666668,6.958949999999999
346,9.194344365312105,32.310835983941274,2023-06-12 12:18:40.496458,8.436,2,2023-06-12 12:00:00,33.8,69,0.2,998.7,7.7,294.0,1.2192,1043.9901219811543,1142.4399999999998,1092.106256257215,39.3933712316212,6.790416666666668,6.958949999999999
347,9.194344365312105,32.310835983941274,2023-06-12 12:35:05.284456,8.436,2,2023-06-12 13:00:00,33.8,68,0.2,998.3,7.0,346.0,1.2192,1043.9901219811543,1142.4399999999998,1092.106256257215,39.3933712316212,6.7945833333333345,6.958949999999999
348,9.154126518642649,32.218867173558806,2023-06-12 12:51:29.770718,8.815,2,2023-06-12 13:00:00,33.8,68,0.2,998.3,7.0,346.0,1.2192,1038.0554019474253,1142.4399999999998,1088.9977104662876,39.2812428580029,6.7945833333333345,6.958949999999999
349,9.154126518642649,32.218867173558806,2023-06-12 13:07:54.021183,8.815,2,2023-06-12 13:00:00,33.8,68,0.2,998.3,7.0,346.0,1.2192,1038.0554019474253,1142.4399999999998,1088.9977104662876,39.2812428580029,6.7945833333333345,6.958949999999999
350,9.113908671973187,32.12700789204939,2023-06-12 13:24:17.237767,8.819,2,2023-06-12 13:00:00,33.8,68,0.2,998.3,7.0,346.0,1.2192,1032.144636095804,1142.4399999999998,1085.8928667512694,39.16924802198662,6.7945833333333345,6.958949999999999
351,9.073690825303725,32.12700789204939,2023-06-12 13:40:41.200493,8.83,2,2023-06-12 14:00:00,32.7,72,1.8,998.0,9.4,320.0,1.2192,1032.144636095804,1069.2900000000002,1050.5531580700151,39.16924802198662,6.754583333333334,6.953949999999999
352,9.033472978634268,32.03525726675849,2023-06-12 13:57:04.615833,8.834,2,2023-06-12 14:00:00,32.7,72,1.8,998.0,9.4,320.0,1.2192,1026.2577081474028,1069.2900000000002,1047.5529126230028,39.057385659631954,6.754583333333334,6.953949999999999
353,8.993255131964808,31.852078516427355,2023-06-12 14:13:27.743052,8.831,2,2023-06-12 14:00:00,32.7,72,1.8,998.0,9.4,320.0,1.2192,1014.554905816653,1069.2900000000002,1041.5629674871745,38.834054127228235,6.754583333333334,6.953949999999999
354,8.993255131964808,31.852078516427355,2023-06-12 14:29:52.495582,8.831,2,2023-06-12 14:00:00,32.7,72,1.8,998.0,9.4,320.0,1.2192,1014.554905816653,1069.2900000000002,1041.5629674871745,38.834054127228235,6.754583333333334,6.953949999999999
355,8.993255131964808,31.852078516427355,2023-06-12 14:46:16.811586,8.831,2,2023-06-12 15:00:00,31.8,76,1.9,997.6,5.4,276.0,1.2192,1014.554905816653,1011.24,1012.89609682239,38.834054127228235,6.543333333291667,7.576950000000001
356,9.073690825303725,31.760648668138742,2023-06-12 15:02:40.229427,8.799,2,2023-06-12 15:00:00,31.8,76,1.9,997.6,5.4,276.0,1.2192,1008.7388038209433,1011.24,1009.988627646812,38.722582856194755,6.543333333291667,7.576950000000001
357,9.033472978634268,31.669324029471,2023-06-12 15:19:06.523164,8.803,2,2023-06-12 15:00:00,31.8,76,1.9,997.6,5.4,276.0,1.2192,1002.9460844836293,1011.24,1007.0845041371778,38.611239856731046,6.543333333291667,7.576950000000001
358,9.033472978634268,31.669324029471,2023-06-12 15:35:26.747599,8.803,2,2023-06-12 16:00:00,31.9,77,0.1,996.6,3.9,209.0,1.2192,1002.9460844836293,1017.6099999999999,1010.2514365401248,38.611239856731046,6.426041666624999,7.340999999999999
359,9.033472978634268,31.669324029471,2023-06-12 15:51:50.572604,8.803,2,2023-06-12 16:00:00,31.9,77,0.1,996.6,3.9,209.0,1.2192,1002.9460844836293,1017.6099999999999,1010.2514365401248,38.611239856731046,6.426041666624999,7.340999999999999
360,9.033472978634268,31.578103749527717,2023-06-12 16:08:14.556010,8.796,2,2023-06-12 16:00:00,31.9,77,0.1,996.6,3.9,209.0,1.2192,997.1766364159364,1017.6099999999999,1007.3415096099342,38.500024091424194,6.426041666624999,7.340999999999999
361,8.993255131964808,31.578103749527717,2023-06-12 16:24:38.844297,8.807,2,2023-06-12 16:00:00,31.9,77,0.1,996.6,3.9,209.0,1.2192,997.1766364159364,1017.6099999999999,1007.3415096099342,38.500024091424194,6.426041666624999,7.340999999999999
362,8.953037285295347,31.578103749527717,2023-06-12 16:41:02.827534,8.819,2,2023-06-12 17:00:00,32.0,78,0.1,996.5,3.6,174.0,1.2192,997.1766364159364,1024.0,1010.4993199848869,38.500024091424194,6.329652777749999,7.831999999999999
363,8.993255131964808,31.578103749527717,2023-06-12 16:57:25.900167,8.807,2,2023-06-12 17:00:00,32.0,78,0.1,996.5,3.6,174.0,1.2192,997.1766364159364,1024.0,1010.4993199848869,38.500024091424194,6.329652777749999,7.831999999999999
364,8.953037285295347,31.48698698161479,2023-06-12 17:13:53.491982,8.811,2,2023-06-12 17:00:00,32.0,78,0.1,996.5,3.6,174.0,1.2192,991.4303491803794,1024.0,1007.5835834116733,38.38893452798475,6.329652777749999,7.831999999999999
365,8.912819438625888,31.48698698161479,2023-06-12 17:30:13.467617,8.823,2,2023-06-12 18:00:00,30.5,84,2.5,997.3,6.3,96.0,1.2192,991.4303491803794,930.25,960.3531029392511,38.38893452798475,6.140694444430555,7.144
366,8.872601591956428,31.48698698161479,2023-06-12 17:46:35.832461,8.835,2,2023-06-12 18:00:00,30.5,84,2.5,997.3,6.3,96.0,1.2192,991.4303491803794,930.25,960.3531029392511,38.38893452798475,6.140694444430555,7.144
367,8.832383745286966,31.48698698161479,2023-06-12 18:02:59.982788,8.847,2,2023-06-12 18:00:00,30.5,84,2.5,997.3,6.3,96.0,1.2192,991.4303491803794,930.25,960.3531029392511,38.38893452798475,6.140694444430555,7.144
368,8.79216589861751,31.39597288319152,2023-06-12 18:19:23.510904,8.851,2,2023-06-12 18:00:00,30.5,84,2.5,997.3,6.3,96.0,1.2192,985.7071132820971,930.25,957.5771729373413,38.277970139187104,6.140694444430555,7.144
369,8.751948051948048,31.39597288319152,2023-06-12 18:35:49.511948,8.487,2,2023-06-12 19:00:00,29.2,86,0.3,998.1,7.0,10.0,1.2192,985.7071132820971,852.64,916.7624081891923,38.277970139187104,10.209583333333333,9.6593333333
370,8.79216589861751,31.39597288319152,2023-06-12 18:52:10.007806,8.476,2,2023-06-12 19:00:00,29.2,86,0.3,998.1,7.0,10.0,1.2192,985.7071132820971,852.64,916.7624081891923,38.277970139187104,10.209583333333333,9.6593333333
371,8.751948051948048,31.39597288319152,2023-06-12 19:08:33.969182,8.487,2,2023-06-12 19:00:00,29.2,86,0.3,998.1,7.0,10.0,1.2192,985.7071132820971,852.64,916.7624081891923,38.277970139187104,10.209583333333333,9.6593333333
372,8.711730205278592,31.39597288319152,2023-06-12 19:24:57.530327,8.499,2,2023-06-12 19:00:00,29.2,86,0.3,998.1,7.0,10.0,1.2192,985.7071132820971,852.64,916.7624081891923,38.277970139187104,10.209583333333333,9.6593333333
373,8.711730205278592,31.39597288319152,2023-06-12 19:41:22.611661,8.499,2,2023-06-12 20:00:00,28.6,88,0.0,999.0,5.9,0.0,1.2192,985.7071132820971,817.96,897.9248244592775,38.277970139187104,9.370000000000001,9.639
374,8.67151235860913,31.39597288319152,2023-06-12 19:57:43.889649,8.511,2,2023-06-12 20:00:00,28.6,88,0.0,999.0,5.9,0.0,1.2192,985.7071132820971,817.96,897.9248244592775,38.277970139187104,9.370000000000001,9.639
375,8.631294511939673,31.39597288319152,2023-06-12 20:14:07.833151,8.523,2,2023-06-12 20:00:00,28.6,88,0.0,999.0,5.9,0.0,1.2192,985.7071132820971,817.96,897.9248244592775,38.277970139187104,9.370000000000001,9.639
376,8.591076665270212,31.39597288319152,2023-06-12 20:30:31.688306,8.534,2,2023-06-12 21:00:00,28.3,90,0.0,999.5,6.6,0.0,1.2192,985.7071132820971,800.89,888.50603259432,38.277970139187104,11.106666666666667,9.729000000000001
377,8.550858818600755,31.30506061582213,2023-06-12 20:46:56.716058,8.538,2,2023-06-12 21:00:00,28.3,90,0.0,999.5,6.6,0.0,1.2192,980.0068201602977,800.89,885.9332154277663,38.16712990281034,11.106666666666667,9.729000000000001
378,8.550858818600755,31.30506061582213,2023-06-12 21:03:18.868190,8.913,2,2023-06-12 21:00:00,28.3,90,0.0,999.5,6.6,0.0,1.2192,980.0068201602977,800.89,885.9332154277663,38.16712990281034,11.106666666666667,9.729000000000001
379,8.510640971931293,31.30506061582213,2023-06-12 21:19:41.945600,8.925,2,2023-06-12 21:00:00,28.3,90,0.0,999.5,6.6,0.0,1.2192,980.0068201602977,800.89,885.9332154277663,38.16712990281034,11.106666666666667,9.729000000000001
380,8.510640971931293,31.30506061582213,2023-06-12 21:36:08.594404,8.925,2,2023-06-12 22:00:00,28.1,91,0.0,999.9,6.6,0.0,1.2192,980.0068201602977,789.6100000000001,879.6722033046019,38.16712990281034,11.106666666666667,9.729000000000001
381,8.510640971931293,31.214249345128398,2023-06-12 21:52:29.468587,8.542,2,2023-06-12 22:00:00,28.1,91,0.0,999.9,6.6,0.0,1.2192,974.3293621798485,789.6100000000001,877.120406598108,38.05641280158054,11.106666666666667,9.729000000000001
382,8.510640971931293,31.214249345128398,2023-06-12 22:08:53.266075,8.542,2,2023-06-12 22:00:00,28.1,91,0.0,999.9,6.6,0.0,1.2192,974.3293621798485,789.6100000000001,877.120406598108,38.05641280158054,11.106666666666667,9.729000000000001
