time,temperature_2m (°C),precipitation_probability (%),diffuse_radiation (W/m²)
2023-07-07T02:00,27.0,85,0.0
2023-07-07T03:00,26.8,100,0.0
2023-07-07T04:00,26.8,99,0.0
2023-07-07T05:00,26.6,98,0.0
2023-07-07T06:00,26.8,97,12.0
2023-07-07T07:00,27.1,96,56.0
2023-07-07T08:00,27.5,95,107.0
2023-07-07T09:00,28.3,94,145.0
2023-07-07T10:00,29.7,93,256.0
2023-07-07T11:00,28.6,91,218.0
2023-07-07T12:00,30.8,90,249.0
2023-07-07T13:00,31.0,90,275.0
2023-07-07T14:00,31.2,90,213.0
2023-07-07T15:00,30.2,90,209.0
2023-07-07T16:00,30.7,82,189.0
2023-07-07T17:00,29.3,73,98.0
2023-07-07T18:00,30.1,65,72.0
2023-07-07T19:00,28.8,44,17.0
2023-07-07T20:00,28.2,24,0.0
2023-07-07T21:00,27.9,3,0.0
2023-07-07T22:00,27.7,6,0.0
2023-07-07T23:00,27.5,10,0.0
2023-07-08T00:00,27.4,13,0.0
2023-07-08T01:00,27.2,37,0.0
2023-07-08T02:00,27.0,60,0.0
2023-07-08T03:00,26.8,84,0.0
2023-07-08T04:00,26.7,80,0.0
2023-07-08T05:00,26.5,75,0.0
2023-07-08T06:00,26.8,71,13.0
2023-07-08T07:00,27.2,61,67.0
2023-07-08T08:00,28.1,52,133.0
2023-07-08T09:00,28.8,42,194.0
2023-07-08T10:00,29.4,51,247.0
2023-07-08T11:00,30.6,59,248.0
2023-07-08T12:00,31.8,68,261.0
2023-07-08T13:00,32.2,65,251.0
2023-07-08T14:00,32.0,61,263.0
2023-07-08T15:00,31.6,58,230.0
2023-07-08T16:00,31.6,42,227.0
2023-07-08T17:00,31.2,26,166.0
2023-07-08T18:00,30.8,10,89.0
2023-07-08T19:00,29.6,8,17.0
2023-07-08T20:00,28.7,5,0.0
2023-07-08T21:00,28.2,3,0.0
2023-07-08T22:00,27.9,3,0.0
2023-07-08T23:00,27.5,3,0.0
2023-07-09T00:00,27.4,3,0.0
2023-07-09T01:00,27.2,20,0.0
2023-07-09T02:00,27.0,38,0.0
2023-07-09T03:00,26.8,55,0.0
2023-07-09T04:00,26.7,66,0.0
2023-07-09T05:00,26.6,76,0.0
2023-07-09T06:00,26.9,87,15.0
2023-07-09T07:00,27.4,88,81.0
2023-07-09T08:00,28.3,89,135.0
2023-07-09T09:00,28.9,90,202.0
2023-07-09T10:00,29.9,76,240.0
2023-07-09T11:00,31.0,62,309.0
2023-07-09T12:00,32.1,48,304.0
2023-07-09T13:00,32.7,38,290.0
2023-07-09T14:00,33.1,29,250.0
2023-07-09T15:00,33.1,19,202.0
2023-07-09T16:00,32.6,31,166.0
2023-07-09T17:00,32.1,43,142.0
2023-07-09T18:00,31.5,55,83.0
2023-07-09T19:00,30.1,58,15.0
2023-07-09T20:00,29.3,62,0.0
2023-07-09T21:00,28.8,65,0.0
2023-07-09T22:00,28.4,67,0.0
2023-07-09T23:00,28.1,69,0.0
2023-07-10T00:00,28.1,71,0.0
2023-07-10T01:00,27.8,76,0.0
2023-07-10T02:00,27.6,82,0.0
2023-07-10T03:00,27.5,87,0.0
2023-07-10T04:00,27.3,77,0.0
2023-07-10T05:00,27.2,68,0.0
2023-07-10T06:00,27.5,58,12.0
2023-07-10T07:00,27.7,72,70.0
2023-07-10T08:00,28.3,86,147.0
2023-07-10T09:00,29.0,100,200.0
2023-07-10T10:00,29.7,99,237.0
2023-07-10T11:00,30.2,98,259.0
2023-07-10T12:00,31.3,97,352.0
2023-07-10T13:00,31.5,96,325.0
2023-07-10T14:00,32.2,95,339.0
2023-07-10T15:00,31.5,94,269.0
2023-07-10T16:00,31.3,80,204.0
2023-07-10T17:00,31.1,66,192.0
2023-07-10T18:00,29.8,52,97.0
2023-07-10T19:00,29.3,36,17.0
2023-07-10T20:00,28.7,19,0.0
2023-07-10T21:00,28.2,3,0.0
2023-07-10T22:00,27.8,15,0.0
2023-07-10T23:00,27.5,27,0.0
2023-07-11T00:00,27.4,39,0.0
2023-07-11T01:00,27.3,57,0.0
2023-07-11T02:00,27.1,76,0.0
2023-07-11T03:00,27.0,94,0.0
2023-07-11T04:00,26.8,73,0.0
2023-07-11T05:00,26.6,53,0.0
2023-07-11T06:00,27.1,32,10.0
2023-07-11T07:00,27.3,54,71.0
2023-07-11T08:00,28.0,75,152.0
2023-07-11T09:00,29.1,97,261.0
2023-07-11T10:00,29.7,94,286.0
2023-07-11T11:00,29.7,90,249.0
2023-07-11T12:00,31.3,87,330.0
2023-07-11T13:00,32.1,64,367.0
2023-07-11T14:00,32.0,42,343.0
2023-07-11T15:00,31.9,19,272.0
2023-07-11T16:00,30.9,15,254.0
2023-07-11T17:00,30.5,10,170.0
2023-07-11T18:00,30.5,6,91.0
2023-07-11T19:00,29.5,5,16.0
2023-07-11T20:00,28.9,4,0.0
2023-07-11T21:00,28.5,3,0.0
2023-07-11T22:00,28.1,15,0.0
2023-07-11T23:00,27.8,27,0.0
2023-07-12T00:00,27.6,39,0.0
2023-07-12T01:00,27.4,45,0.0
2023-07-12T02:00,27.2,52,0.0
2023-07-12T03:00,27.0,58,0.0
2023-07-12T04:00,26.8,54,0.0
2023-07-12T05:00,26.7,49,0.0
2023-07-12T06:00,26.9,45,14.0
2023-07-12T07:00,27.5,62,91.0
2023-07-12T08:00,28.4,80,157.0
2023-07-12T09:00,29.5,97,193.0
2023-07-12T10:00,30.4,90,263.0
2023-07-12T11:00,30.9,84,281.0
2023-07-12T12:00,32.3,77,318.0
2023-07-12T13:00,32.7,67,301.0
2023-07-12T14:00,33.0,58,307.0
2023-07-12T15:00,32.3,48,272.0
2023-07-12T16:00,31.7,38,227.0
2023-07-12T17:00,31.1,29,167.0
2023-07-12T18:00,30.3,19,104.0
2023-07-12T19:00,29.3,21,19.0
2023-07-12T20:00,28.6,24,0.0
2023-07-12T21:00,28.2,26,0.0
2023-07-12T22:00,27.8,18,0.0
2023-07-12T23:00,27.6,11,0.0
2023-07-13T00:00,27.5,3,0.0
2023-07-13T01:00,27.2,24,0.0
2023-07-13T02:00,27.2,44,0.0
2023-07-13T03:00,27.0,65,0.0
2023-07-13T04:00,26.9,45,0.0
2023-07-13T05:00,26.9,26,0.0
2023-07-13T06:00,26.9,6,13.0
2023-07-13T07:00,27.3,29,80.0
2023-07-13T08:00,28.0,51,163.0
2023-07-13T09:00,28.9,74,230.0
2023-07-13T10:00,29.3,83,274.0
2023-07-13T11:00,30.4,91,359.0
2023-07-13T12:00,31.7,100,302.0
2023-07-13T13:00,31.7,98,335.0
2023-07-13T14:00,31.1,96,248.0
2023-07-13T15:00,31.1,94,282.0
2023-07-13T16:00,30.0,76,183.0
2023-07-13T17:00,29.2,57,109.0
2023-07-13T18:00,30.0,39,85.0
2023-07-13T19:00,28.8,38,15.0
2023-07-13T20:00,28.3,36,0.0
2023-07-13T21:00,28.0,35,0.0
2023-07-13T22:00,27.8,32,0.0
2023-07-13T23:00,27.6,29,0.0
2023-07-14T00:00,27.3,26,0.0
2023-07-14T01:00,27.2,35,0.0
2023-07-14T02:00,27.0,43,0.0
2023-07-14T03:00,26.9,52,0.0
2023-07-14T04:00,26.7,53,0.0
2023-07-14T05:00,26.6,54,0.0
2023-07-14T06:00,26.7,55,7.0
2023-07-14T07:00,27.2,68,72.0
2023-07-14T08:00,27.8,81,130.0
2023-07-14T09:00,28.4,94,203.0
2023-07-14T10:00,29.0,96,309.0
2023-07-14T11:00,30.0,98,336.0
2023-07-14T12:00,32.1,100,314.0
2023-07-14T13:00,30.9,100,285.0
2023-07-14T14:00,30.6,100,210.0
2023-07-14T15:00,30.0,100,237.0
2023-07-14T16:00,29.7,95,200.0
2023-07-14T17:00,29.7,89,160.0
2023-07-14T18:00,29.8,84,53.0
2023-07-14T19:00,28.5,62,11.0
2023-07-14T20:00,28.0,41,0.0
2023-07-14T21:00,27.7,19,0.0
2023-07-14T22:00,27.4,21,0.0
2023-07-14T23:00,27.2,24,0.0
2023-07-15T00:00,26.9,26,0.0
2023-07-15T01:00,26.7,22,0.0
2023-07-15T02:00,26.6,17,0.0
2023-07-15T03:00,26.5,13,0.0
2023-07-15T04:00,26.3,15,0.0
2023-07-15T05:00,26.3,17,0.0
2023-07-15T06:00,26.5,19,12.0
2023-07-15T07:00,27.2,42,67.0
2023-07-15T08:00,27.6,64,118.0
2023-07-15T09:00,28.4,87,181.0
2023-07-15T10:00,29.4,74,237.0
2023-07-15T11:00,30.7,61,316.0
2023-07-15T12:00,31.0,48,311.0
2023-07-15T13:00,30.9,42,229.0
2023-07-15T14:00,29.5,35,144.0
2023-07-15T15:00,30.9,29,190.0
2023-07-15T16:00,29.4,19,100.0
2023-07-15T17:00,29.9,10,120.0
2023-07-15T18:00,29.7,0,74.0
2023-07-15T19:00,29.0,0,17.0
2023-07-15T20:00,28.3,0,0.0
2023-07-15T21:00,27.8,0,0.0
2023-07-15T22:00,27.6,0,0.0
2023-07-15T23:00,27.4,0,0.0
2023-07-16T00:00,27.1,0,0.0
2023-07-16T01:00,26.9,0,0.0
2023-07-16T02:00,26.7,0,0.0
2023-07-16T03:00,26.6,0,0.0
2023-07-16T04:00,26.5,11,0.0
2023-07-16T05:00,26.4,21,0.0
2023-07-16T06:00,26.6,32,11.0
2023-07-16T07:00,27.0,49,70.0
2023-07-16T08:00,27.4,67,147.0
2023-07-16T09:00,27.8,84,187.0
2023-07-16T10:00,29.1,86,308.0
2023-07-16T11:00,29.4,88,315.0
2023-07-16T12:00,30.0,90,224.0
2023-07-16T13:00,30.6,70,322.0
2023-07-16T14:00,30.0,49,216.0
2023-07-16T15:00,31.4,29,360.0
2023-07-16T16:00,29.5,28,169.0
2023-07-16T17:00,29.6,27,118.0
2023-07-16T18:00,29.8,26,94.0
2023-07-16T19:00,28.8,17,18.0
2023-07-16T20:00,28.2,9,0.0
2023-07-16T21:00,27.8,0,0.0
2023-07-16T22:00,27.6,0,0.0
2023-07-16T23:00,27.2,0,0.0
2023-07-17T00:00,27.0,0,0.0
2023-07-17T01:00,26.8,4,0.0
2023-07-17T02:00,26.8,9,0.0
2023-07-17T03:00,26.7,13,0.0
2023-07-17T04:00,26.7,11,0.0
2023-07-17T05:00,26.6,8,0.0
2023-07-17T06:00,26.6,6,10.0
2023-07-17T07:00,27.2,35,75.0
2023-07-17T08:00,27.9,65,137.0
2023-07-17T09:00,28.8,94,263.0
2023-07-17T10:00,29.5,93,327.0
