id,dvd_status,dvd_haulage,dvd_lat,dvd_ph,dvd_tds,dvd_temp,dvd_ammonia,dvd_long,dvd_mileage,dvd_speed,dvd_meter_reading,dvd_bearing,dvd_bettery,dvd_created_at,dvd_updated_at,dvd_do,dvd_alkalinity,dvd_hardness,company_id,dvd_dev_id,dvd_dvg_id
426,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.279724",8.619,99.99,153.94,1,2,1
427,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.315915",8.619,99.99,153.94,1,2,1
428,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.351499",8.619,99.99,153.94,1,2,1
429,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.393808",8.619,99.99,153.94,1,2,1
430,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.435409",8.619,99.99,153.94,1,2,1
431,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.480967",8.619,99.99,153.94,1,2,1
432,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.523346",8.619,99.99,153.94,1,2,1
433,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.559809",8.619,99.99,153.94,1,2,1
434,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.614364",8.619,99.99,153.94,1,2,1
435,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.667283",8.619,99.99,153.94,1,2,1
